position,title,snippet,highlighs,link,displayed_link
0,Barack Obama (@BarackObama) ...,"... barackobamabooks.com Born August 4, 1961 Joined March 2007. 547.2K Following · 132M Followers · Posts · Replies · Media · Likes. Barack Obama's posts. Barack ...","[""Barack Obama's"", 'Barack']",https://twitter.com/BarackObama,https://twitter.com › BarackObama
1,Barack Obama,Log in · Sign up. Conversation. Barack Obama. @BarackObama. I wanted to share some thoughts on what's happening right now in Israel and Gaza.,['Barack Obama'],https://twitter.com/BarackObama/status/1716524464643375138,https://twitter.com › BarackObama › status
2,Barack Obama,"Barack Obama. @BarackObama. At our. @ObamaFoundation. Democracy Forum, we brought together hundreds of leaders from around the world to talk ...",['Barack Obama'],https://twitter.com/BarackObama/status/1724552804864253983,https://twitter.com › BarackObama › status
3,Barack Obama,"Barack Obama. @BarackObama. Today, some of the books that shaped my life—and the lives of so many others—are being challenged by people who ...",['Barack Obama'],https://twitter.com/BarackObama/status/1680927869021696005,https://twitter.com › BarackObama › status
4,Barack Obama,Barack Obama. @BarackObama. All Americans should be horrified and outraged by the brazen terrorist attacks on Israel and the slaughter of ...,['Barack Obama'],https://twitter.com/BarackObama/status/1711487698555322579,https://twitter.com › BarackObama › status
5,Barack Obama,"Barack Obama. @BarackObama. 15 years ago today, I asked you to believe in the change we could create together—and you did. I'm so proud of our ...",['Barack Obama'],https://twitter.com/BarackObama/status/1720902753881366930,https://twitter.com › BarackObama › status
6,Barack Obama,"Barack Obama. @BarackObama. Last week, I sat down with some old friends at. @PodSaveAmerica. to reflect on the 15th anniversary of the 2008 ...",['Barack Obama'],https://twitter.com/BarackObama/status/1723075684510081173,https://twitter.com › BarackObama › status
7,Barack Obama,Barack Obama. @BarackObama. I recently went on the Decoder Podcast to talk about how the Biden-Harris Administration is working to take ...,['Barack Obama'],https://twitter.com/BarackObama/status/1722661488370802732,https://twitter.com › BarackObama › status
8,Barack Obama,"Barack Obama. @BarackObama. For eight years,. @POTUS. and I worked to deliver change for the American people. I couldn't have asked for a better ...",['Barack Obama'],https://twitter.com/BarackObama/status/1721177408869404749,https://twitter.com › BarackObama › status
9,Barack Obama,"Barack Obama. @BarackObama. Yesterday, voters across the country turned out for the values we're fighting for – because they know state and ...",['Barack Obama'],https://twitter.com/BarackObama/status/1722378821951697036,https://twitter.com › BarackObama › status
10,Barack Obama,"Barack Obama. @BarackObama. In Chicago, I got to spend time with grassroots leaders from our. @GirlsAlliance. Network who are learning from each ...",['Barack Obama'],https://twitter.com/BarackObama/status/1723084360331534557,https://twitter.com › BarackObama › status
11,Barack Obama,"Barack Obama. @BarackObama. Rosalynn Carter's life is a reminder that no matter who we are, our legacies are best measured not in awards or ...",['Barack Obama'],https://twitter.com/BarackObama/status/1726401261115715791,https://twitter.com › BarackObama › status
12,Barack Obama,"Barack Obama. @BarackObama. Like I do every year, here are some songs I've been listening to this summer — a mix of old and new. Look forward ...",['Barack Obama'],https://twitter.com/BarackObama/status/1682133479037841414,https://twitter.com › BarackObama › status
13,Barack Obama,"Barack Obama. @BarackObama. I always look forward to sharing my lists of favorite books, movies, and music with all of you. First up, here are ...",['Barack Obama'],https://twitter.com/BarackObama/status/1606303906211979269,https://twitter.com › BarackObama › status
14,Barack Obama,Barack Obama. @BarackObama. Proud of all that. @JoeBiden. and his administration have accomplished these last few years. He's delivered for the ...,['Barack Obama'],https://twitter.com/BarackObama/status/1650862300289720326,https://twitter.com › BarackObama › status
15,Here's my statement on today's violence at the Capitol.,"Conversation. Barack Obama. @BarackObama. Here's my statement on today's violence at the Capitol. Image. 12:56 AM · Jan 7, 2021.",['Barack Obama'],https://twitter.com/BarackObama/status/1346983894298595330,https://twitter.com › BarackObama › status
16,Barack Obama,Barack Obama. @BarackObama. Judy Heumann dedicated her life to the fight for civil rights—starting as a young organizer at Camp Jened and ...,['Barack Obama'],https://twitter.com/BarackObama/status/1632218360992743426,https://twitter.com › BarackObama › status
17,Barack Obama,"Barack Obama. @BarackObama. Today our family lost a true friend and loyal companion. For more than a decade, Bo was a constant, gentle ...",['Barack Obama'],https://twitter.com/BarackObama/status/1391106025269440516,https://twitter.com › BarackObama › status
18,Barack Obama,Barack Obama. @BarackObama. Here's some books that I'm reading this summer. Check them out and let me know what I should be reading next.,['Barack Obama'],https://twitter.com/BarackObama/status/1682057935810117635,https://twitter.com › BarackObama › status
19,Barack Obama,"Barack Obama. @BarackObama. I just tested positive for COVID. I've had a scratchy throat for a couple days, but am feeling fine otherwise ...",['Barack Obama'],https://twitter.com/BarackObama/status/1503092299173089288,https://twitter.com › BarackObama › status
20,Barack Obama,Barack Obama. @BarackObama. I will always be grateful that we had a once-in-a-century public health leader to guide us through a once-in-a ...,['Barack Obama'],https://twitter.com/BarackObama/status/1561805472394625029,https://twitter.com › BarackObama › status
21,Barack Obama,Log in · Sign up. Conversation. Barack Obama. @BarackObama. I saw some great movies this year – here are some of my favorites. What did I miss?,['Barack Obama'],https://twitter.com/BarackObama/status/1606356531385143297,https://twitter.com › BarackObama › status
22,No one is born hating another person because of the color ...,"Barack Obama. @BarackObama. ""No one is born hating another person because of the color of his skin or his background or his religion..."".",['Barack Obama'],https://twitter.com/BarackObama/status/896523232098078720,https://twitter.com › BarackObama › status
23,Barack Obama,"Barack Obama. @BarackObama. As 2020 comes to a close, I wanted to share my annual lists of favorites. I'll start by sharing my favorite books ...",['Barack Obama'],https://twitter.com/BarackObama/status/1339631669104570370,https://twitter.com › BarackObama › status
24,Barack Obama,"Barack Obama. @BarackObama. On a day for the history books,. @TheAmandaGorman. delivered a poem that more than met the moment. Young people like ...",['Barack Obama'],https://twitter.com/BarackObama/status/1351995663475728386,https://twitter.com › BarackObama › status
25,Barack Obama,"Barack Obama. @BarackObama. To celebrate the 13th anniversary of the Affordable Care Act,. @POTUS. and I surprised some folks whose lives have ...",['Barack Obama'],https://twitter.com/BarackObama/status/1639039601623851009,https://twitter.com › BarackObama › status
26,Barack Obama,"Barack Obama. @BarackObama. Every year, I get excited to share my summer playlist because I learn about so many new artists from your replies ...",['Barack Obama'],https://twitter.com/BarackObama/status/1552005985807618049,https://twitter.com › BarackObama › status
27,Barack Obama,"Barack Obama. @BarackObama. Over the next few days, I'll share my annual list of favorite books, music, and movies. Art always sustains and ...",['Barack Obama'],https://twitter.com/BarackObama/status/1471168495312420877,https://twitter.com › BarackObama › status
28,Barack Obama,"Barack Obama. @BarackObama. Everyone depends on the USPS. Seniors for their Social Security, veterans for their prescriptions, small ...",['Barack Obama'],https://twitter.com/BarackObama/status/1294284824325300225,https://twitter.com › BarackObama › status
29,Barack Obama,Barack Obama. @BarackObama. Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act ...,['Barack Obama'],https://twitter.com/BarackObama/status/1221552460768202756,https://twitter.com › BarackObama › status
30,Barack Obama,"Barack Obama. @BarackObama. Fourteen years ago, when the big three automakers were struggling to stay afloat, my administration and the ...",['Barack Obama'],https://twitter.com/BarackObama/status/1703051865355600374,https://twitter.com › BarackObama › status
31,Barack Obama,"Conversation. Barack Obama. @BarackObama. Four more years. Image. 4:16 AM · Nov 7, 2012 · 753.3K. Reposts · 16.6K. Quotes.",['Barack Obama'],https://twitter.com/BarackObama/status/266031293945503744,https://twitter.com › BarackObama › status
32,Barack Obama,"Log in · Sign up. Conversation. Barack Obama. @BarackObama. Congratulations to my friend, President. @JoeBiden ! This is your time.",['Barack Obama'],https://twitter.com/BarackObama/status/1351903613237547010,https://twitter.com › BarackObama › status
33,Barack Obama,"Barack Obama. @BarackObama. “Low plastic stool, cheap but delicious noodles, cold Hanoi beer.” This is how I'll remember Tony. He taught us ...",['Barack Obama'],https://twitter.com/BarackObama/status/1005117568913412098,https://twitter.com › BarackObama › status
34,Barack Obama,"Barack Obama. @BarackObama. General Colin Powell understood what was best in this country, and tried to bring his own life, career, and public ...",['Barack Obama'],https://twitter.com/BarackObama/status/1450148473295228929,https://twitter.com › BarackObama › status
35,Barack Obama,"Barack Obama. @BarackObama. Today, a jury did the right thing. But true justice requires much more. Michelle and I send our prayers to the ...",['Barack Obama'],https://twitter.com/BarackObama/status/1384626851511951360,https://twitter.com › BarackObama › status
36,"Barack Obama on X: ""Chadwick came to the White House ...",Barack Obama. @BarackObama. Chadwick came to the White House to work with kids when he was playing Jackie Robinson. You could tell right away ...,['Barack Obama'],https://twitter.com/BarackObama/status/1299718379440398337,https://twitter.com › BarackObama › status
37,Barack Obama,"Barack Obama. @BarackObama. One year ago, a violent attack on our Capitol made it clear just how fragile the American experiment in democracy ...",['Barack Obama'],https://twitter.com/BarackObama/status/1479090410211393543,https://twitter.com › BarackObama › status
38,Barack Obama,Barack Obama. @BarackObama. John McCain is an American hero & one of the bravest fighters I've ever known. Cancer doesn't know what it's up ...,['Barack Obama'],https://twitter.com/BarackObama/status/887836712822558720,https://twitter.com › BarackObama › status
39,Barack Obama,"Barack Obama. @BarackObama. As we wind down 2019, I wanted to share with you my annual list of favorites that made the last year a little ...",['Barack Obama'],https://twitter.com/BarackObama/status/1211033245812441091,https://twitter.com › BarackObama › status
40,Barack Obama,"Barack Obama. @BarackObama. Congratulations to my friends,. @JoeBiden. and. @KamalaHarris. — our next President and Vice President of the United ...",['Barack Obama'],https://twitter.com/BarackObama/status/1325136780396437507,https://twitter.com › BarackObama › status
41,Barack Obama,"Barack Obama. @BarackObama. I commend the players on the. @Bucks. for standing up for what they believe in, coaches like. @DocRivers. , and the.",['Barack Obama'],https://twitter.com/BarackObama/status/1298786988833857537,https://twitter.com › BarackObama › status
42,Barack Obama,"Barack Obama. @BarackObama. Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless ...",['Barack Obama'],https://twitter.com/BarackObama/status/966704319658647553,https://twitter.com › BarackObama › status
43,Barack Obama,"Barack Obama. @BarackObama. While we were still in the White House, I began sharing my summer favorites—and now, it's become a little ...",['Barack Obama'],https://twitter.com/BarackObama/status/1413576041482932225,https://twitter.com › BarackObama › status
44,Barack Obama - Endorsement of Joe Biden for President,I'm proud to endorse my friend. @JoeBiden. for President of the United States. Let's go: Embedded video. Barack Obama. @BarackObama.,['Barack Obama'],https://twitter.com/BarackObama/status/1250088269502709762,https://twitter.com › BarackObama › status
45,Barack Obama - My statement on the death of George Floyd,"Conversation. Barack Obama. @BarackObama. My statement on the death of George Floyd: Image. 4:06 PM · May 29, 2020.",['Barack Obama'],https://twitter.com/BarackObama/status/1266400635429310466,https://twitter.com › BarackObama › status
46,Barack Obama,Barack Obama. @BarackObama. Music has always played an important role in my life—and that was especially true during my presidency. In honor ...,['Barack Obama'],https://twitter.com/BarackObama/status/1328458351869644806,https://twitter.com › BarackObama › status
47,Barack Obama,"Barack Obama. @BarackObama. Toni Morrison was a national treasure, as good a storyteller, as captivating, in person as she was on the page ...",['Barack Obama'],https://twitter.com/BarackObama/status/1158764847800213507,https://twitter.com › BarackObama › status
48,Barack Obama,"Barack Obama. @BarackObama. Last year, I sat down with my good friend Bruce. @Springsteen. for a long and meaningful conversation that touched ...",['Barack Obama'],https://twitter.com/BarackObama/status/1363905910389805060,https://twitter.com › BarackObama › status
49,Barack Obama,"Barack Obama. @BarackObama. From hip-hop to country to The Boss, here are my songs of the year. If you're looking for something to keep you ...",['Barack Obama'],https://twitter.com/BarackObama/status/1211694118767738886,https://twitter.com › BarackObama › status
50,Barack Obama,"Barack Obama. @BarackObama. With summer winding down, here's a sampling of what Michelle and I have been listening to — some new, some old ...",['Barack Obama'],https://twitter.com/BarackObama/status/1165286625208950784,https://twitter.com › BarackObama › status
51,Barack Obama,"Barack Obama. @BarackObama. We just made history. All of this happened because you gave your time, talent and passion. All of this happened ...",['Barack Obama'],https://twitter.com/BarackObama/status/992176676,https://twitter.com › BarackObama › status
52,Barack Obama,Barack Obama. @BarackObama. I've known Senator. @KamalaHarris. for a long time. She is more than prepared for the job. She's spent her career ...,['Barack Obama'],https://twitter.com/BarackObama/status/1293295296819220481,https://twitter.com › BarackObama › status
53,Barack Obama,Barack Obama. @BarackObama. Here's the advice I shared with Malia about what progress looks like – and the work we can do right now to make a ...,['Barack Obama'],https://twitter.com/BarackObama/status/1677075431462260736,https://twitter.com › BarackObama › status
54,Barack Obama,"Barack Obama. @BarackObama. There's no feeling like finishing a book, and I'm proud of this one. In A Promised Land, I try to provide an ...",['Barack Obama'],https://twitter.com/BarackObama/status/1306535933475532803,https://twitter.com › BarackObama › status
55,Barack Obama,Barack Obama. @BarackObama. The way I'm going to evaluate any proposal touching on social media and the internet is whether ...,['Barack Obama'],https://twitter.com/BarackObama/status/1517333872375042048,https://twitter.com › BarackObama › status
56,Barack Obama,"Barack Obama. @BarackObama. One of the most inspiring things about this year has been seeing so many young people organizing, marching, and ...",['Barack Obama'],https://twitter.com/BarackObama/status/1318741515649372166,https://twitter.com › BarackObama › status
